Time resolution is 1 ps
Time=0, HSync=x, VSync=x, R=000x, G=0000, B=0000
Time=1419505, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1419555, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1419605, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1419655, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1419705, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1419755, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1419805, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1419855, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1419905, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1419955, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1420005, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1420055, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1420105, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1420155, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1420205, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1420255, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1420305, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1420355, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1420405, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1420455, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1420505, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1420555, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1420605, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1420655, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1420705, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1420755, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1420805, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1420855, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1420905, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1420955, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1421005, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1421055, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1421105, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1421155, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1421205, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1421255, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1421305, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1421355, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1421405, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1421455, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1421505, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1421555, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1421605, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1421655, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1421705, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1421755, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1421805, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1421855, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1421905, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1421955, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1422005, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1422055, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1422105, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1422155, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1422205, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1422255, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1422305, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1422355, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1422405, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1422455, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1422505, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1422555, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1422605, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1422655, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1422705, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1422755, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1422805, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1422855, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1422905, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1422955, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1423005, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1423055, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1423105, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1423155, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1423205, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1423255, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1423305, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1423355, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1423405, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1423455, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1423505, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1423555, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1423605, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1423655, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1423705, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1423755, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1423805, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1423855, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1423905, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1423955, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1424005, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1424055, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1424105, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1424155, HSync=1, VSync=1, R=0000, G=0000, B=1111
